kab_asal,kab_tujuan,jarak_meter,jarak_km,waktu_detik,waktu_menit
Kabupaten Bangkalan,Kabupaten Banyuwangi,334580.2,334.58,15130.9,252.2
Kabupaten Bangkalan,Kabupaten Blitar,198458.9,198.46,9029.0,150.5
Kabupaten Bangkalan,Kabupaten Bojonegoro,141719.8,141.72,6363.1,106.1
Kabupaten Bangkalan,Kabupaten Bondowoso,228278.4,228.28,10755.7,179.3
Kabupaten Bangkalan,Kabupaten Gresik,54408.7,54.41,2548.6,42.5
Kabupaten Bangkalan,Kabupaten Jember,230833.7,230.83,10464.1,174.4
Kabupaten Bangkalan,Kabupaten Jombang,114202.1,114.2,5176.9,86.3
Kabupaten Bangkalan,Kabupaten Kediri,148461.5,148.46,7014.8,116.9
Kabupaten Bangkalan,Kabupaten Lamongan,76940.4,76.94,3597.5,60.0
Kabupaten Bangkalan,Kabupaten Lumajang,177762.6,177.76,8180.7,136.3
Kabupaten Bangkalan,Kabupaten Madiun,207463.9,207.46,9721.1,162.0
Kabupaten Bangkalan,Kabupaten Magetan,224432.0,224.43,10661.8,177.7
Kabupaten Bangkalan,Kabupaten Malang,141513.8,141.51,6476.7,107.9
Kabupaten Bangkalan,Kabupaten Mojokerto,81746.7,81.75,4044.6,67.4
Kabupaten Bangkalan,Kabupaten Nganjuk,148445.1,148.45,6767.8,112.8
Kabupaten Bangkalan,Kabupaten Ngawi,212298.7,212.3,9981.4,166.4
Kabupaten Bangkalan,Kabupaten Pacitan,316765.1,316.77,13971.5,232.9
Kabupaten Bangkalan,Kabupaten Pamekasan,97720.6,97.72,4231.6,70.5
Kabupaten Bangkalan,Kabupaten Pasuruan,79937.2,79.94,3957.5,66.0
Kabupaten Bangkalan,Kabupaten Ponorogo,229852.3,229.85,10582.2,176.4
Kabupaten Bangkalan,Kabupaten Probolinggo,159650.6,159.65,7443.8,124.1
Kabupaten Bangkalan,Kabupaten Sampang,64307.8,64.31,2872.0,47.9
Kabupaten Bangkalan,Kabupaten Sidoarjo,57062.3,57.06,2852.5,47.5
Kabupaten Bangkalan,Kabupaten Situbondo,232204.6,232.2,10607.8,176.8
Kabupaten Bangkalan,Kabupaten Sumenep,152359.5,152.36,6558.4,109.3
Kabupaten Bangkalan,Kabupaten Trenggalek,215677.9,215.68,9571.4,159.5
Kabupaten Bangkalan,Kabupaten Tuban,131752.1,131.75,5938.0,99.0
Kabupaten Bangkalan,Kabupaten Tulungagung,183316.3,183.32,8160.8,136.0
Kabupaten Bangkalan,Kota Batu,133085.1,133.09,6391.5,106.5
Kabupaten Bangkalan,Kota Blitar,200428.1,200.43,9215.8,153.6
Kabupaten Bangkalan,Kota Kediri,152873.1,152.87,6722.3,112.0
Kabupaten Bangkalan,Kota Madiun,201096.1,201.1,9385.7,156.4
