nama,tipe,ibu_kota,latitude,longitude
Kabupaten Bangkalan,Kabupaten,Bangkalan,-7.0482,112.7465
Kabupaten Banyuwangi,Kabupaten,Banyuwangi,-8.2192,114.3691
Kabupaten Blitar,Kabupaten,Kanigoro,-8.0933,112.1767
Kabupaten Bojonegoro,Kabupaten,Bojonegoro,-7.1507,111.8817
Kabupaten Bondowoso,Kabupaten,Bondowoso,-7.9097,113.8224
Kabupaten Gresik,Kabupaten,Gresik,-7.1571,112.6512
Kabupaten Jember,Kabupaten,Jember,-8.1724,113.7028
Kabupaten Jombang,Kabupaten,Jombang,-7.5481,112.2318
Kabupaten Kediri,Kabupaten,Pamenang,-7.6833,111.9667
Kabupaten Lamongan,Kabupaten,Lamongan,-7.1175,112.4151
Kabupaten Lumajang,Kabupaten,Lumajang,-8.1308,113.2227
Kabupaten Madiun,Kabupaten,Caruban,-7.6667,111.5833
Kabupaten Magetan,Kabupaten,Magetan,-7.6476,111.3282
Kabupaten Malang,Kabupaten,Kepanjen,-8.1300,112.5700
Kabupaten Mojokerto,Kabupaten,Mojosari,-7.5377,112.5393
Kabupaten Nganjuk,Kabupaten,Nganjuk,-7.6046,111.9010
Kabupaten Ngawi,Kabupaten,Ngawi,-7.4067,111.4467
Kabupaten Pacitan,Kabupaten,Pacitan,-8.1979,111.1042
Kabupaten Pamekasan,Kabupaten,Pamekasan,-7.1572,113.4724
Kabupaten Pasuruan,Kabupaten,Bangil,-7.5956,112.7877
Kabupaten Ponorogo,Kabupaten,Ponorogo,-7.8651,111.4633
Kabupaten Probolinggo,Kabupaten,Kraksaan,-7.7572,113.4100
Kabupaten Sampang,Kabupaten,Sampang,-7.1819,113.2451
Kabupaten Sidoarjo,Kabupaten,Sidoarjo,-7.4479,112.7183
Kabupaten Situbondo,Kabupaten,Situbondo,-7.7063,114.0076
Kabupaten Sumenep,Kabupaten,Sumenep,-7.0167,113.8667
Kabupaten Trenggalek,Kabupaten,Trenggalek,-8.0534,111.7101
Kabupaten Tuban,Kabupaten,Tuban,-6.8982,112.0490
Kabupaten Tulungagung,Kabupaten,Tulungagung,-8.0650,111.9043
Kota Batu,Kota,-,-7.8710,112.5220
Kota Blitar,Kota,-,-8.0953,112.1608
Kota Kediri,Kota,-,-7.8156,112.0113
Kota Madiun,Kota,-,-7.6298,111.5239
Kota Malang,Kota,-,-7.9797,112.6304
Kota Mojokerto,Kota,-,-7.4714,112.4344
Kota Pasuruan,Kota,-,-7.6456,112.9073
Kota Probolinggo,Kota,-,-7.7541,113.2157
Kota Surabaya,Kota,-,-7.2575,112.7521
